"Rank","Score (rounded)","Training","Entry number","Closed","Authors"
1,0.83,0.8926,220,,"Tomás Teijeiro; Constantino A. García; Paulo Félix; Daniel Castro"
1,0.83,0.9696,209,,"Shreyasi Datta; Chetanya Puri; Ayan Mukherjee; Rohan Banerjee; Anirban Dutta Choudhury; Arijit Ukil; Soma Bandyopadhyay; Rituraj Singh; Arpan Pal; Sundeep Khandelwal"
1,0.83,0.9511,208,,"Morteza Zabihi; Ali Bahrami Rad"
1,0.83,0.9689,221,,"Shenda Hong; Yuxi Zhou; Qingyun Wang; Meng Wu; Junyuan Shang"
5,0.82,0.9646,208,,"Mohammed Baydoun; Lise Safatly; Hassan Ghaziri; Ali El-Hajj"
5,0.82,0.8888,209,,"Martin Zihlmann; Michael Tschannen; Dmytro Perekrestenko"
5,0.82,0.8747,211,,"Guangyu Bin; Minggang Shao; Jiao Huang; Guanghong Bin"
5,0.82,0.8770,282,,"Zhaohan Xiong; Dr Jichao Zhao"
9,0.81,0.9349,205,,"Martin Kropf; Dieter Hayn; Günter Schreier"
9,0.81,0.9252,210,,"Filip Plesinger; Petr Nejedly; Josef Halamek; Ivo Viscor; Pavel Jurak"
9,0.81,0.9696,254,,"Sebastian D. Goodfellow; Dr. Danny Eytan; Andrew Goodwin; Robert Greer; Dr. Peter Laussen; Dr. Mjaye Mazwi"
9,0.81,0.8847,213,,"Maurizio Varanini; Lucia Billeci"
9,0.81,0.9644,210,,"Ashish Sharma; Dr Shivnarayan Patidar"
9,0.81,0.8395,213,,"Radovan Smíšek; Lukáš Smital; Martin Vítek; Marina Ronzhina; Jakub Hejč; Andrea Němcová; Lucie Maršánová; Jiří Chmelík; Jana Kolářová; Ivo Provazník"
9,0.81,0.9031,276,,"Chen Yao; Liu Dayiheng; Cheng dongdong; Hu Wei; Xu Kun; Yang Kexin; Wang Jian; Jiang Zhe"
9,0.81,0.9419,240,,"Marcus Vollmer; Philipp Sodmann; Neetika Nath; Leonard Caanitz"
9,0.81,0.8913,206,,"Dawid Smoleń"
18,0.80,0.7802,202,,"Chen Jiayu; Nigel Lovell; Stephen Redmond; Heba Khamis"
18,0.80,0.8422,214,,"Joachim A. Behar; Aviv Rosenberg; Yael Yaniv; Julien Oster"
18,0.80,0.7960,204,,"Ivaylo Christov; Vessela Krasteva; Iana Simova; Tatyana Neycheva; Ramun Schmid"
18,0.80,0.9121,208,,"Dionisije Sopic; Elisabetta De Giovanni; Amir Aminifar; David Atienza"
18,0.80,0.8610,204,,"Philip A. Warrick; Masun Nabhan Homsi"
18,0.80,0.8750,226,,"Jonathan Rubin; Saman Parvaneh; Asif Rahman; Saeed Babaeizadeh; Bryan Conroy"
18,0.80,0.8687,210,,"Gliner Vadim; Yaniv Yael"
25,0.79,0.8673,204,,"Sasan Yazdani; Jean-Marc Vesin"
25,0.79,0.8459,245,,"Marco Delai; Gaetano Scebba; Patrick Schwab; Jia Zhang"
25,0.79,0.8719,247,,"Csaba Botos; Márton Áron Goda; Tamás Hakkel; Szilvia Herczeg; István Osztheimer; András Horváth"
25,0.79,0.9198,222,,"Fernando Andreotti; Oliver Carr; Marco A. F. Pimentel; Adam Mahdi; Maarten De Vos"
29,0.78,0.8277,210,,"Vykintas Maknickas; Algirdas Maknickas"
29,0.78,0.9633,207,,"Christoph Hoog Antink; Anne Kristin Braczynski; Steffen Leonhardt; Marian Walter"
29,0.78,0.8327,208,,"Nadi Sadr; Thuy Pham; Madhuka Jayawardhana; Asghar Balaie; Rui Tang; Philip de Chazal"
29,0.78,0.8743,220,C,"Maximilian Oremek; Dr. S. Zenker; Sebastian Schmitz; Dr. Jochen Garcke"
29,0.78,0.9688,210,,"Runnan He; Yang Liu"
34,0.77,0.8880,214,,"Bradley M Whitaker; Muhammed Rizwan; V Burak Aydemir; David V Anderson"
34,0.77,0.7810,216,,"Elena Simarro Mondéjar; Santiago Jiménez Serrano; Jaime Yagüe Mayans; Conrado J. Calvo; Paco Castells; José Millet Roig"
34,0.77,0.8592,237,,"Mohamed Limam; Frederic Precioso"
34,0.77,0.8714,220,,"Miguel Lozano; Viktor Kifer; Francisco Martinez-Gil"
38,0.76,0.8360,244,,"Teo Soo-Kng; Yang Xulei; Nguyen Phu Binh; Gabriel Tjio; Feng Ling; Su Yi; Lim Toon Wei"
39,0.75,0.9386,209,,"Zhenning Mei; Hongyu Chen; Xiao Gu; Wei Chen"
39,0.75,0.7727,252,C,"Babak Afshin-Pour; Gabe Musso"
39,0.75,0.9026,203,,"Joel Karel; Pietro Bonizzi; Kurt Driessens"
39,0.75,0.7910,207,,"Rymko; Perka; Solinski; Rosinski; Lepek"
39,0.75,0.7872,209,,"Katarzyna Stepien; Iga Grzegorczyk"
44,0.74,0.7511,206,,"Griet Goovaerts; Martijn Boussé; Otto Debals; Lieven De Lathauwer; Sabine Van Huffel"
45,0.73,0.9139,205,,"Javier de la Torre Costa; Alfredo Torregrosa Lloret; Aitana Pascual Belda; Gabriel García Pardo"
45,0.73,0.7334,201,,"Heikki Väänänen; Jarno Mäkelä"
45,0.73,0.7598,204,,"Pedro Álvarez; Andreu M. Climent; María S. Guillem"
45,0.73,0.7028,202,,"Victor Manuel José Ocoa"
45,0.73,0.7338,203,C,"Manuel García; Juan Ródenas; Raúl Alcaraz; José J. Rieta"
50,0.72,0.8267,204,,"Vignesh Kalidas"
51,0.71,0.9426,206,,"Jos van der Westhuizen"
51,0.71,0.7795,203,,"Kamran Kiani; Shadi Ghiasi; Mostafa Abdollahpur; Nasim Madani"
53,0.69,0.8855,206,,"Ahmad B. A. Hassanat; Ghada Awad Altarawneh"
54,0.68,0.7216,214,C,"Philip Aston; Esther Bonet Luz; Peter Charlton; Jane Lyle; Manasi Nandi; Hitesh Mistry; Daniel Abasolo"
55,0.64,0.6751,204,,"Irena Jekova; Todor Stoyanov; Ivan Dotsinsky"
56,0.63,0.6835,205,,"Lluís Borràs Ferrís; Ignacio José Pascual Fernández; Julio José Silva Rodríguez; Roberto Zazo Manzaneque"
57,0.61,0.6313,245,,"Ilya Potapov; Otto Pulkkinen; Esa Räsänen"
57,0.61,0.8620,205,,"Ruhallah Amandi M; Mohammad Farhadi; A.J. Zarrin"
59,0.58,0.6290,204,,"DA SILVA—FILARDER Matthieu; MARZBANRAD Faezeh"
60,0.56,0.5627,204,,"María Rebeca Lliguin León; Marta Mares García; Juliana Andrea Suárez Hernández"
61,0.55,0.5687,202,,"Erin Coppola"
62,0.53,0.5268,202,,"Carlos Fambuena Santos; Carlos Lopez Gomez; Pablo Abad Martinez; Gonzalo Collantes Pablo; Jose Millet Roig; Francisco Sales Castells Ramon"
62,0.53,0.5504,202,,"Octavian-Lucian Hasna; Rodica Potolea"
64,0.51,0.6238,204,,"Ines Chavarria Marques; Irene Cuenca Ortola; Laura Ferrero Montes; Eva Gil San Antonio"
65,0.50,0.7759,226,,"Mihalis Nicolaou; Hooman Oroojeni Mohamad Javad"
66,0.48,0.4913,201,C,"Sergey S. Krivenko"
,0.41,0.4090,-,,"(Sample entry)"
67,0.25,0.2747,203,,"Raviteja Mullapudi; Rajarao Mullapudi; Phanikiran Chintalapati"
